PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000963,Idleb,Idleb,Kafr Nabi,Sahel  alkheer ,"36.04240860790014,36.608082465827465",IS,550,541,360,275,1726,0.06,1,1,0,1,0.58,,3. Partially covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,2.Mostly covered
CP000967,Idleb,Idleb,Maaret Tamsrin,Al Manhal*,"36.101768,36.665659",IS,415,412,260,260,1347,0.8,1,1,1,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000968,Idleb,Idleb,Maaret Tamsrin,Sham2 *,"36.106297,36.668518",IS,260,230,210,190,890,0.8,0,1,0,1,0,,2.Mostly covered,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP000986,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Shouhadaa Syria1*,"35.88517597596734,36.17736705780129",IS,310,270,350,320,1250,0.5,0.26,0.85,0.9,0.86,0.47,,Not covered - N/A,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,3. Partially covered
CP000987,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Kateaa Al Naher1*,"35.88276215635547,36.17618464794867",IS,82,72,105,95,354,0.5,0.45,0.85,0.89,0.91,0.5,,Not covered - N/A,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,Not covered - N/A
CP000988,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Salma2*,"35.87796804188716,36.17713310210465",IS,178,139,105,85,507,0.7,0.4,0.89,0.84,0.85,0.65,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000989,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Aidoun*,"35.88176350486725,36.17582823464304",IS,183,128,139,120,570,0.55,0.2,0.85,0.85,0.85,0.6,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000990,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Salama1*,"35.881662731742225,36.17763810412802",IS,262,213,165,138,778,0.6,0.4,0.9,0.86,0.84,0.55,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000991,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Kateaa Al Naher 2*,"35.883170684011205,36.175791351459274",IS,30,25,52,48,155,0.65,0.3,0.9,0.84,0.88,0.5,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,Not covered - N/A
CP000992,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Shouhadaa Syria2*,"35.88438993013862,36.17602741136646",IS,149,130,153,132,564,0.6,0.25,0.85,0.89,0.88,0.71,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
