governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Harim,Karama,Rawdah,"36.213794,36.660519",IS,168,153,120,113,554,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Re'a Alhawa,"35.55888783,37.0141243481445",IS,230,210,142,140,722,0.5,0.25,0.1,0,0.9,1,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,2. Mostly covered,1. Fully covered
Idleb,Harim,Deir Hassan,Reef Aleppo,"36.1407745350001,36.7593336000001",IS,37,51,41,32,161,0.25,1,1,1,0.25,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Karama,Reef Hama Mankouba,"36.220651,36.671864",IS,226,215,169,166,776,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Aleppo,Afrin,Afrin,Roubar Camp,"36.4116661,37.0203094",IS,517,534,346,425,1822,0.9,0.5,0.1,0.7,0.2,0.2,2. Mostly covered,3. Partially covered,3. Partially covered,2. Mostly covered,3. Partially covered,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Sahal,"35.5201342643911,36.8910701242293",IS,283,214,177,163,837,1,0.5,0.1,0,0.5,1,1. Fully covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,1. Fully covered
Idleb,Harim,Qah,Sahl Al Ghab Alawal,"36.230779,36.689679",IS,155,129,131,119,534,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Salah Alden (Kherbet Eljoz),"35.948245,36.215875",IS,696,707,1098,996,3497,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Salah Eldin (including Al Islah),"36.301913,36.689354",IS,503,568,596,494,2161,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Big Hir Jamus,Samidoon,"36.09928,36.39674",PC,587,833,436,448,2304,0.75,0.9,0.93,1,0.72,1,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered,2. Mostly covered,1. Fully covered
