governorate,district,Sub District,Community,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,Protection,CP,GBV,Health**,Education
Idleb,Harim,Dana,Qah,Salam,Al Goroub,"36.198372732,36.699264884",IS,205,247,155,156,763,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Jisr-Ash-Shugur,Badama,Ein El-Bayda,Oben,Al Hanbushiyeh,"35.951678,36.249436",IS,541,451,331,286,1608,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Al Haneen,"36.3219705710001,36.728045776",IS,,,,,400,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Al Haq,"36.387981,36.746645",IS,133,137,137,103,510,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,Out of Camp
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Al Harameen (and extensions),"36.736489,37.008355",TC,791,714,562,483,2550,1,1,0.5,0.5,,0.15,1. Fully covered,1. Fully covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,3. Partially covered,Yes,No,No,MC,
Idleb,Harim,Dana,Atma,Karama,Al Hijaz,"36.205454,36.78992",IS,142,150,107,122,521,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Yes
Idleb,Harim,Dana,Qah,Liyajlikum,Al Hurriya wa Adalah,"36.201072732,36.651064884",IS,382,379,213,259,1233,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Al Ikhaa,"36.156751,36.642443",IS,334,369,297,301,1301,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Yes
Idleb,Harim,Dana,Atma,Karama,Al Ikhlas,"36.163087,36.646833",IS,178,214,145,146,683,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,Yes
Idleb,Harim,Dana,Qah,Liyajlikum,Al Ikhlas and Al Taqua,"36.307572732,36.679464884",IS,266,352,179,135,932,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,Yes,No,No,,
