governorate,district,Sub District,Community,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,Protection,CP,GBV,Health**,Education
Idleb,Harim,Dana,Qah,Qah,Ataa 7a (Ataa Almara Alkwaityeh 1),"36.210472732,36.747564884",IS,209,188,323,272,992,1,0.7,0.8,0.8,,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered,No,No,No,MC in Alkarama,Available in Alkarama
Idleb,Harim,Dana,Qah,Qah,Ataa 7b (Ataa Almara Alkwaityeh 2),"36.274772732,36.722464884",IS,213,224,376,377,1190,1,0.65,0.8,0.8,,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered,No,No,No,MC in Alkarama,Available in Alkarama
Idleb,Harim,Dana,Qah,Qah,Ataa 8 (Shabab Al Khayr 2),"36.315272732,36.680964884",IS,393,455,345,395,1588,1,0.6,0.8,0.7,,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered,No,No,No,MC in Alkarama,Available in Alkarama
Idleb,Harim,Dana,Qah,Qah,Ataa 9a (Hamad Al Ammar 2),"36.321672732,36.807164884",IS,158,170,165,167,660,1,0.6,0.8,0.7,,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered,No,No,No,MC in Alkarama,Available in Alkarama
Idleb,Harim,Dana,Qah,Qah,Ataa 9b (Nasaem Alkhair),"36.373472732,36.657764884",IS,200,219,176,190,785,1,0.6,0.8,0.7,,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A,1. Fully covered,No,No,No,MC in Alkarama,Available in Alkarama
Idleb,Jisr-Ash-Shugur,Badama,Kherbet Eljoz,Kherbet Eljoz,Ataa Al Kheir,"35.9178040420001,36.211917645",IS,,,,,2482,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Atfal Alghad,"36.240005,36.768109",IS,166,174,112,102,554,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Atmeh,Atmeh,"36.361914,36.675972",IS,14952,17283,13449,11808,57492,0.9,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,Yes,Yes,FC,Yes
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Aycha,"36.247853,36.698415",IS,298,287,255,223,1063,,,,,1,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Salqin,Kafarna,Kafrina,Ayidoun,"36.207034,36.504366",PC,546,549,546,431,2072,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,Yes,No,No,PHC,Yes
Aleppo,A'zaz,A'zaz,Shmarekh,Azaz,Azaz Transit/Reception Centre,"36.591494,37.228683",TC,3668,3282,2507,2254,11711,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,MC,
Hama,Hama,Hamra,Jeb Elsafa,Sanjar,Aziziyeh,"35.38609,37.27371",IS,132,131,78,69,410,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Jisr-Ash-Shugur,Janudiyeh,Foz - Zuf,Jisr-Ash-Shugur,Az-Zawf 1 (Sham),"35.8570125860001,36.1870487320001",IS,796,767,681,596,2840,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Jisr-Ash-Shugur,Janudiyeh,Foz - Zuf,Jisr-Ash-Shugur,Az-Zawf 2 (Sadaka Tashi),"35.9264444,36.231336",IS,587,578,667,661,2493,1,1,1,1,,0.5,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,2. Mostly covered,No,No,No,,
Idleb,Jisr-Ash-Shugur,Janudiyeh,Foz - Zuf,Jisr-Ash-Shugur,Az-Zawf 3 (Al Ikhaa),"35.95445,36.242705",IS,298,272,338,335,1242,1,1,1,1,,0.75,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,2. Mostly covered,No,No,No,FC,Yes
Idleb,Harim,Dana,Qah,Qah,Bab Al Hawa,"36.319125,36.760495",IS,164,171,193,156,683,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Bab Al Hawa extension (Al Mutahaboun Bellah),"36.350372732,36.678564884",IS,,,,,1243,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Bab Al Iman,"36.670089,37.206728",IS,2958,2696,1740,1306,8700,,1,1,1,0.58,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,Yes,No,Yes,,
Aleppo,A'zaz,A'zaz,Shamarin,Azaz,Bab Al Noor,"36.6588408,37.124857",IS,,,,,7800,0.41,1,1,1,1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,No,Yes,,
Aleppo,A'zaz,A'zaz,Salama,Azaz,Bab Al Salame ,"36.670737,37.009991",IS,2958,2697,1741,1304,8700,,1,1,1,0.5,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,1. Fully covered,Yes,Yes,Yes,PHC,Yes
Idleb,Harim,Dana,Qah,Qah,Bani Omiyet,"36.3742722,36.660325",IS,83,86,69,69,307,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,Out of Camp
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,Baoda,"35.8684821790001,38.5661639500001",IS,,,,,8,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Liyajlikum,Bara`m Al Thawra,"36.342172732,36.698764884",IS,161,213,142,108,624,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Hama,Hama,Hamra,Baroudiyeh,Sanjar,Baroudiyeh,"35.6162475,37.1440008",IS,64,69,68,62,263,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Bashkum,Sanjar,Bashkum,"35.356185,37.184195",IS,75,59,77,68,279,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Camp 5,"36.7998611,37.9430472",IS,129,127,74,70,400,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,,,,,
Idleb,Harim,Dana,Qah,Liyajlikum,Children of Freedom Martyrs,"36.381315,36.7439042",IS,125,124,99,102,450,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Qah,Salam,Dar Al Riaya - Disabled,"36.144635,36.639639",IS,287,299,228,257,1071,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,Available in Al Jolan,Yes
Idleb,Harim,Dana,Aqrabat,Salam,Dma'aet Nazeh,"36.212132,36.622068",IS,76,65,82,86,309,1,,,,,1,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Doaa,"36.206643,36.61366",IS,344,338,304,308,1294,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,FC,Yes
Idleb,Harim,Dana,Atma,Karama,Doaat Al Kwait (Al Khayrat),"36.297352,36.674956",IS,174,166,166,182,687,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Yes
Idleb,Al Ma'ra,Sanjar,Ejaz,Sanjar,Eastern Ejaz,"35.597691,36.980814",IS,31,40,18,24,113,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Ebtieen,"36.1919245350001,36.8566536000001",IS,83,91,49,52,275,1,1,1,1,0.5,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered,4. Not covered - N/A,No,No,No,,
Idleb,Jisr-Ash-Shugur,Badama,Kherbet Eljoz,Kherbet Eljoz,Ein Al Bayda,"35.867904042,36.22027645",IS,,,,,4845,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Fahil Jallas,Sanjar,Fahil Jallas,"35.570429,36.979832",IS,33,57,19,15,124,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Hawa,Sanjar,Fakkah,"35.5185814331054,37.0591559326171",IS,32,30,36,32,130,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Liyajlikum,Farajak Yarab,"36.229072732,36.654064884",IS,74,97,36,28,234,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Liyajlikum,Fardoose,"36.232063,36.722604",IS,233,238,147,139,757,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,No,No,,Out of Camp
Idleb,Harim,Dana,Qah,Liyajlikum,Fateh Aleslam,"36.266472732,36.696364884",IS,110,145,123,94,472,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Ghetaa Al Rahma 1,"36.151426,36.832817",IS,76,72,305,45,498,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,Available in Nour Al Houda,in Deir Hassan village
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,Hamam,"35.8680821790001,38.6474639500001",IS,,,,,5,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Harameen,"36.157118,36.63285",IS,212,173,170,165,721,1,1,1,1,,0.1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,3. Partially covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Qah,Qah,Hibat Allah,"36.248357,36.717957",IS,226,219,176,175,796,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Sarmada,Sarmada,Imdad,"36.150524,36.711952",IS,150,145,129,112,536,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Harim,Harim,Harim,Jabal Harim (Sabiroon),"36.2018167,36.4868778",IS,241,250,148,148,787,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Jarablus (Agricultural bank),"36.807177,37.975933",IS,,,,,451,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,,,,,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Jarablus (Stadium),"36.801689,38.101361",IS,,,,,1325,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,,,,,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Jarablus (Youth Centre),"36.8219528,37.99815",IS,,,,,405,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,,,,,
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Jarablus 4 (Jbel),"36.8146789,37.974275",IS,151,153,120,115,539,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,,,,,
Idleb,Al Ma'ra,Sanjar,Jeb Elqasab,Sanjar,Jeb Elqasab,"35.543798,37.089096",IS,41,21,23,17,102,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Salqin,Kafarna,Kafrina,Kadimoon,"36.2063,36.4229",PC,517,466,316,314,1614,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,Yes,No,No,,Yes
Idleb,Harim,Harim,Kafr Hum,Harim,Kafr Hum,"36.1510547990001,36.56656495",IS,301,302,188,165,956,1,,0.6,1,,,1. Fully covered,4. Not covered - N/A,2. Mostly covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,Yes,No,No,,
Idleb,Harim,Dana,Qah,Salam,Kafr Nabutha Al Amal,"36.233472732,36.806864884",IS,79,76,68,59,282,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Salam,Kafr Nabutha Alhora,"36.225872732,36.719464884",IS,88,84,75,65,312,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Kafr Nabutha Alsmoud,"36.306072732,36.702864884",IS,68,80,64,97,309,0.85,1,1,1,,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Bashkum,Sanjar,Khaldyiah,"35.426486,37.132339",IS,62,62,62,54,240,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Sarmada,Sarmada,Khaled Bin Al Waleed,"36.154508,36.762271",IS,252,300,313,270,1135,,,1,1,,1,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Little Khayriyeh,Sanjar,Khayriyeh,"35.45048,37.1487982",IS,31,34,29,34,128,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Liyajlikum,Korayish (Al Khair),"36.263223,36.694353",IS,231,211,136,119,697,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Kura Mankouba,"36.385207,36.621066",IS,150,144,143,139,576,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Qah,Liyajlikum,Lan Narka`llla Lilah,"36.288326,36.763708",IS,344,401,399,320,1464,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,Yes,No,No,,
Idleb,Al Ma'ra,Ma'arrat An Nu'man,Halbeh,Sanjar,Lhluoba,"35.6628666646397,36.7035507636819",IS,69,75,49,53,246,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Liyajlikum,Liyajlikum,"36.250934,36.728351",IS,367,338,211,206,1122,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Yes
Idleb,Al Ma'ra,Sanjar,Maksar,Sanjar,Lower Maksar,"35.426561,37.181729",IS,47,39,15,12,113,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Northern Lweibdeh,Sanjar,Lweibdeh,"35.441754,36.903993",IS,85,82,51,78,296,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Madenh Monarh (Hmamiat),"36.361505,36.779711",IS,157,156,218,174,705,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Al Ma'ra,Sanjar,Mardagana Burtuqala,Sanjar,Mardagana Burtuqala,"35.509066,37.029",IS,18,19,18,15,70,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Jisr-Ash-Shugur,Darkosh,Mreimin (Darkosh),Darkosh,Meriamen,"35.9525619340001,36.5102032310001",IS,32,34,22,20,108,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Moatakalen Sahl Al Gab,"36.2444705710001,36.659945776",IS,,,,,1238,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Mreijeb Elmashad,Sanjar,Mreijeb Elmashad,"35.500129,37.048732",IS,77,83,85,65,310,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Mreiheb,Sanjar,Mreijeb Slejah,"35.612087,37.107289",IS,113,132,108,90,443,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Salam,Muhajreen Al Gab,"36.279172732,36.720564884",IS,144,138,124,108,514,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Nasaem Al Khayr,"36.221726,36.666217",IS,437,483,563,478,1961,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,Available in Nour Al Houda,in Deir Hassan village
Idleb,Harim,Dana,Atma,Karama,Nasret Al Mazloum,"36.276473,36.715236",IS,289,315,226,228,1058,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Nasret Al Rasoul,"36.327572732,36.768964884",IS,196,190,169,147,702,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Nour Al Houda,"36.156126,36.769517",IS,169,158,172,207,706,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,FC,in Deir Hassan village
Idleb,Harim,Dana,Atma,Karama,Nour Al Mustafa,"36.338535,36.76888",IS,256,254,193,193,896,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,Yes,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Nour Al Mustakbal,"36.268146,36.746652",IS,195,195,174,172,736,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Nour Al Sham,"36.249504,36.738509",IS,132,124,99,91,446,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Nour Hama,"36.3147705710001,36.6748045776",IS,,,,,179,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Hama,Hama,Hamra,Hawayes Un Jern,Sanjar,Ob Alkhazneh,"35.498989,37.140711",IS,55,54,51,42,202,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Ojeh,Sanjar,Ojeh,"35.7297956,37.0875892",IS,42,57,36,22,157,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Harim,Harim,Harim,Omahat Al Moumenien,"36.200193731,36.453345569",IS,100,80,66,4,251,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Jisr-Ash-Shugur,Badama,Kherbet Eljoz,Kherbet Eljoz,Omar,"35.831104042,36.2107764500001",IS,,,,,3184,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Jisr-Ash-Shugur,Darkosh,Dorriyeh,Darkosh,Othman Bin Affan,"36.0559406440001,36.3244019910001",IS,242,255,218,179,894,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Othman Bin Affan,"36.151503,36.638664",IS,37,34,31,27,129,,,,,,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Qadisiya,"36.360805,36.623634",IS,185,237,196,183,800,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Out of Camp
Idleb,Harim,Dana,Qah,Qah,Qah,"36.237801,36.793371",IS,293,320,326,318,1258,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,FC,Yes
Idleb,Harim,Dana,Qah,Liyajlikum,Qassioun,"36.236666,36.710633",IS,136,169,141,127,572,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,No,No,No,,Out of Camp
Idleb,Al Ma'ra,Sanjar,Qatra,Sanjar,Qatra,"35.663919,36.950166",IS,34,35,39,39,147,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Aleppo,Jebel Saman,Atareb,Abin Samaan,Atareb,Ra'a,"36.2015667,36.6905",IS,287,276,229,189,981,1,1,1,1,,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,2. Mostly covered,Yes,No,No,,
Idleb,Harim,Dana,Atma,Karama,Rajaa,"36.15943,36.640338",IS,186,207,170,159,722,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Out of Camp
Idleb,Al Ma'ra,Sanjar,Sanjar,Sanjar,Ramleh,"35.510575,37.100573",IS,84,94,33,30,241,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Al Ma'ra,Sanjar,Rasm Elabed,Sanjar,Rasm Elabed,"35.465127,36.958907",IS,145,130,112,94,481,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Hama,Hama,Hamra,Rasm Hamam,Sanjar,Rasm Hamam,"35.3809721,37.1234171",IS,66,67,22,18,173,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Rawdah,"36.297244,36.687069",IS,135,135,97,97,463,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,Out of Camp
Idleb,Al Ma'ra,Sanjar,Seraa,Sanjar,Re'a Alhawa,"35.55558783,37.0814943481445",IS,167,148,73,81,469,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
