PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000273,Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.24031981,36.74055805",IS,1267,1154,902,739,4062,0.87,0.87,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000333,Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.24112212,36.74145123",IS,459,417,326,268,1470,1,1,1,0.6,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000407,Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.25088241,36.75187499",IS,1207,1099,859,704,3869,1,1,1,0.6,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000470,Idleb,Harim,Deir Hassan,Al Iman,"36.25254552,36.7407834",IS,925,842,658,539,2964,1,1,1,0.6,1,0,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,Not covered - N/A
CP000489,Idleb,Harim,Deir Hassan,Al Jesat,"36.24965532,36.74272491",IS,159,151,124,119,553,1,1,0,0,0,1,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000435,Idleb,Harim,Deir Hassan,Al Mansour,"36.23248889,36.733032",IS,936,852,666,546,3000,0.97,0.97,1,0.6,1,0,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,Not covered - N/A
CP000436,Idleb,Harim,Deir Hassan,Al Mazalem,"36.25276902,36.74454443",IS,161,147,115,94,517,0.88,0.88,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000334,Idleb,Harim,Deir Hassan,Al Nahda,"36.24972907,36.74260329",IS,2207,2009,1570,1287,7073,1,1,1,0.6,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000409,Idleb,Harim,Deir Hassan,Al Naief,"36.2476701,36.74530103",IS,303,276,216,177,972,0.78,0.78,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000437,Idleb,Harim,Deir Hassan,Al Nour (Deir Hassan) ,"36.24891742,36.74759331",IS,548,499,390,320,1757,0.92,0.92,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000274,Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.23588835,36.75313939",IS,1382,1258,983,806,4429,0.97,0.97,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000532,Idleb,Harim,Deir Hassan,Al Safa wa Al Basher,"36.22660809,36.73428109",IS,756,719,594,565,2634,0.2,0.2,0,0,0,1,,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
