PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000015,Aleppo,Jarablus,Jarablus,Jarablus (Stadium),"36.8234357896492,38.0115929232619",IS,270,255,278,273,1076,1,1,,,,,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000017,Aleppo,Jarablus,Jarablus,Jarablus 4 (Jbel),"36.8112522006815,38.0091764309928",IS,1665,1665,2282,2318,7930,1,1,,,,,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000283,Aleppo,Jarablus,Jarablus,Ra'a,"36.1086079571396,36.7474378924816",IS,0,0,0,0,0,,,,,,,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000715,Aleppo,Jebel Saman,Atareb,Abo Alkhair *,"36.0837740544229,36.7794581875205",IS,0,0,0,0,0,,,,,,,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000716,Aleppo,Jebel Saman,Atareb,Al makbarah * ,"36.0841072769835,36.7614738922566",IS,0,0,0,0,0,,,,,,,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000499,Aleppo,Jebel Saman,Atareb,Carpet factory ,"35.9159907342864,36.1860126712716",CC,0,0,0,0,0,,,,,,,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000498,Aleppo,Jebel Saman,Atareb,Industrial Secondary ,"36.133131,36.822745",CC,125,100,125,110,460,1,1,0.7,,1,0.6,,1.Fully covered,1.Fully covered,2.Mostly covered,Not covered - N/A,1.Fully covered,2.Mostly covered
CP000458,Aleppo,Jebel Saman,Atareb,Al Hersh,"36.1524886451661,36.7416947800666",IS,1210,1175,650,607,3642,1,1,0.8,1,0.8,0.8,,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,2.Mostly covered,2.Mostly covered
CP000492,Aleppo,Jebel Saman,Atareb,Qortoba,"36.1310590105131,36.7254067305475",IS,283,346,210,163,1002,0.5,1,0.7,0,1,0.6,,Not covered - N/A,1.Fully covered,2.Mostly covered,Not covered - N/A,1.Fully covered,2.Mostly covered
CP000556,Aleppo,Jebel Saman,Atareb,Tal Nawaz * ,"36.1204743012785,36.7630110494792",IS,280,275,256,250,1061,1,0,1,1,1,0,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000557,Aleppo,Jebel Saman,Atareb,Sabroun Camp(Batbo) * ,"36.1461727973073,36.7261487804353",IS,613,596,357,335,1901,1,0,1,1,1,0,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000561,Aleppo,Jebel Saman,Atareb,Hab Abyad * ,"36.1333,36.72578",IS,0,0,0,0,0,,,,,,,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000406,Aleppo,Jebel Saman,Atareb,Al Abiad-Kafar Karmeen ,"36.17390937,36.78282887",IS,646,683,411,353,2093,0.9,0.85,1,0.8,0.8,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,2.Mostly covered,1.Fully covered
CP000608,Aleppo,Jebel Saman,Atareb,Madjanah*,"36.14470686,36.76512792",IS,0,0,0,0,0,,,,,,,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000609,Aleppo,Jebel Saman,Atareb,Sharaa Albayad*,"36.17554474,36.79684294",IS,0,0,0,0,0,,,,,,,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000610,Aleppo,Jebel Saman,Atareb,Al-Madrasa*,"36.1499179573729,36.7237824015319",IS,46,39,36,32,153,1,0,1,1,1,,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000611,Aleppo,Jebel Saman,Atareb,Kafroma*,"36.1305084032937,36.7146823368966",IS,1258,1497,1047,992,4794,1,0,1,1,1,,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000612,Aleppo,Jebel Saman,Atareb,Al-Bashakum*,"36.1197185050696,36.7182675283402",IS,95,109,68,46,318,1,,1,1,1,,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
