PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000283,Aleppo,Jebel Saman,Atareb,Ra'a,"36.1066667,36.745",IS,340,400,205,185,1130,0.4,1,1,1,1,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Not covered - N/A
CP000499,Aleppo,Jebel Saman,Atareb,Carpet factory ,"36.136986,36.824125",CC,8,8,9,9,34,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000498,Aleppo,Jebel Saman,Atareb,Industrial Secondary ,"36.133932,36.823037",CC,100,75,75,80,330,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000458,Aleppo,Jebel Saman,Atareb,Al Hersh,"36.152648,36.741286",IS,360,590,805,750,2505,1,0.75,0.75,0.75,0.75,1,1. Fully covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000492,Aleppo,Jebel Saman,Atareb,Qortoba,"36.130603,36.725415",IS,309,336,189,144,978,0.5,1,0,0,0,0,2. Mostly covered,1. Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000556,Aleppo,Jebel Saman,Atareb,Tal Nawaz,"36.12070,36.76308",IS,0,0,0,0,0,1,0,0,0,0,0,1. Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000557,Aleppo,Jebel Saman,Atareb,Sabroun Camp(Batbo),"36.14790,36.72009",IS,830,572,355,318,2075,0.5,0,0.5,1,1,0.5,2. Mostly covered,Not covered - N/A,2. Mostly covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000561,Aleppo,Jebel Saman,Atareb,Hab Abyad,"36.13330,36.72578",IS,65,65,60,60,250,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000406,Aleppo,Jebel Saman,Atareb,Al Abiad-Kafar Karmeen,"36.164894,36.787968",IS,646,683,411,353,2093,0.8,0.8,0,0,0,1,2. Mostly covered,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000419,Aleppo,Jebel Saman,Atareb,Mezanaz Transit_Reception Centre,"36.058577,36.860305",T/RC,702,777,541,408,2428,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000431,Idleb,Al Mara,Maarrat An Numan,Al Wafa (Maarrat An Numan),"35.6661576070001,36.7263378150001",IS,352,319,223,190,1084,0.8,0.8,0,0,0,0,2. Mostly covered,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000525,Idleb,Al Mara,Maarrat An Numan,Al Sarman,"35.594506,36.858358",IS,750,600,450,350,2150,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000048,Idleb,Harim,Armanaz,Alshbiba buildinng,"36.08364,36.50385",CC,9,9,10,6,34,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000055,Idleb,Harim,Armanaz,Municipality building,"36.085926,36.500618",CC,181,196,145,137,659,0.89,0.39,0,0,0,0,2. Mostly covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000059,Idleb,Harim,Atma,Atma,"36.322614,36.663372",IS,26721,30944,23620,20890,102175,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000434,Idleb,Harim,Bab Al Hawa,Al Bardakli,"36.2137472,36.7276778",IS,56,63,52,246,417,0.2,0,1,1,1,0.99,3. Partially covered,Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000060,Idleb,Harim,Bab Al Hawa,Al Nahdha,"36.122126,36.434594",IS,343,314,163,140,960,1,0.8,0,0,0,0,1. Fully covered,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000066,Idleb,Harim,Bab Al Hawa,Aysha,"36.218453,36.691215",IS,164,163,171,149,647,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000527,Idleb,Harim,Bab Al Hawa,Ghouta Sharkiye,"36.2356389,36.7180833",IS,1973,1584,1672,1313,6542,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000069,Idleb,Harim,Bab Al Hawa,Othman Bin Affan (Bab El Hawa),"36.206403,36.729064",IS,156,162,130,114,562,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000067,Idleb,Harim,Bab Al Hawa,Shahba'1 (Bab Al Hawa Lower/1),"36.228653,36.69619",IS,225,227,154,149,755,1,1,0,0,0,1,1. Fully covered,1. Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000070,Idleb,Harim,Bab Al Hawa,Shahba'2,"36.2127,36.7153",IS,0,0,0,0,0,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000451,Idleb,Harim,Bab Al Hawa,Umut Camp,"36.2276056,36.7182444",PC,1860,1493,1552,1200,6105,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000452,Idleb,Harim,Bab Al Hawa,Yalniz Degilsiniz 2,"36.237125,36.7157861",PC,229,188,111,93,621,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000533,Idleb,Harim,Deir Hassan,Al Khair,"36.2151056,36.7438056",IS,276,256,179,149,860,0.15,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000569,Idleb,Harim,Bab Al Hawa,Aldiaa,"36.224833,36.674639",IS,580,479,309,301,1669,0.9,0.9,0.9,0.9,0.9,0.9,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered
CP000534,Idleb,Harim,Deir Hassan,Wadi Alazeeb,"36.2151056,36.7438056",IS,175,125,102,75,477,0.2,0.2,1,1,1,1,3. Partially covered,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000535,Idleb,Harim,Deir Hassan,Al Salam (Deir Hassan) ,"36.211448,36.746385",IS,105,130,139,116,490,0.2,0.2,0.99,0.99,0.99,0.99,3. Partially covered,3. Partially covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,2. Mostly covered
CP000541,Idleb,Harim,Deir Hassan,Al-Baraka,"36.254133,36.751314",IS,564,508,413,421,1905,0.25,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000542,Idleb,Harim,Deir Hassan,Al-Nashmy ,"36.16453056,36.78139444",IS,71,60,116,77,324,0.6,0,0,0,0,0,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000543,Idleb,Harim,Deir Hassan,Al-Waleed-Der hassan ,"36.16453056,36.78139444",IS,131,106,51,47,335,1,0,0,0,0,1,1. Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000544,Idleb,Harim,Deir Hassan,Al-Naeemiia,"36.210196,36.748215",IS,185,128,130,81,525,0.5,0,0,0,0,1,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000545,Idleb,Harim,Deir Hassan,Om Twaina,"36.211299,36.748217",IS,173,152,117,103,545,0.6,0,0,0,0,1,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000547,Idleb,Harim,Deir Hassan,Al-Ahmad,"36.213842,36.744991",IS,181,159,126,114,580,0.1,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000548,Idleb,Harim,Deir Hassan,Aldarraj,"36.211733,36.748224",IS,83,91,76,65,315,0.15,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000549,Idleb,Harim,Deir Hassan,Tal alhattabat,"36.256858,36.751028",IS,92,72,67,59,290,0.3,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000550,Idleb,Harim,Deir Hassan,Om Qbaiba,"36.210318,36.752846",IS,107,98,79,71,355,0.15,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000553,Idleb,Harim,Deir Hassan,Abnaa alziara,"36.212248,36.744179",IS,68,63,53,41,225,0.5,0,0,0,0,1,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000273,Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.240626,36.743817",IS,267,369,250,244,1130,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000333,Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.241069,36.741186",IS,299,302,205,199,1005,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000407,Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.251214,36.74944",IS,529,533,362,351,1775,0.61,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000470,Idleb,Harim,Deir Hassan,Al Iman,"36.254713,36.740189",IS,386,389,264,256,1295,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000489,Idleb,Harim,Deir Hassan,Al Jesat,"36.2516889,36.7420722",IS,221,222,151,147,740,1,1,0,0,0,1,1. Fully covered,1. Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000435,Idleb,Harim,Deir Hassan,Al Mansour,"36.2322722,36.7378111",IS,405,381,288,260,1334,0.1,0,1,1,1,0,3. Partially covered,Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,Not covered - N/A
CP000436,Idleb,Harim,Deir Hassan,Al Mazalem,"36.2526556,36.744375",IS,112,113,77,74,375,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000334,Idleb,Harim,Deir Hassan,Al Nahda,"36.2500528,36.7408306",IS,1211,1220,829,805,4065,0.75,0.6,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
