governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Hama,Hama,Sanjar,Abla,"35.5261762,37.1219294",IS,54,51,59,55,219,0.5,,,,1,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Hama,Hama,Sanjar,Aziziyeh,"35.42465,37.22043",IS,132,131,78,69,410,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Hama,Hama,Sanjar,Abu Haya,"35.41519413,37.19072692",IS,110,83,101,94,388,0.5,,,,1,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Hama,Hama,Sanjar,Rasm Hamam,"35.4866921,37.2133571",IS,66,67,22,18,173,0.5,,,,1,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Abu Habbeh,"35.5128965,36.7259674",IS,233,236,166,148,783,0.5,,,,1,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Muaysruneh,"35.4948247067398,36.7842338432137",IS,67,81,53,47,248,0.5,,,,1,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Lhluoba,"35.4704866646397,36.7231407636819",IS,69,75,49,53,246,0.5,,,,1,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Abul Eleij,"35.573112,37.088054",IS,84,69,57,55,265,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Bashkum,"35.405515,37.071895",IS,75,59,77,68,279,0.9,,,,1,,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Khaldyiah,"35.351806,37.122599",IS,62,62,62,54,240,0.9,,,,1,1,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered
