PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP001378,Idleb,Idleb,Maaret Tamsrin,Al Hayek,"35.993327451869845,36.623135190457106",IS,55,65,50,60,230,0.06,0.75,1,0,0,0,,3. Partially covered,2.Mostly covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001368,Idleb,Idleb,Maaret Tamsrin,Bhora,"35.99997870158404,36.58301210962236",IS,55,42,58,45,200,0.06,0,0,0.4,0,0,,3. Partially covered,Not covered - N/A,Not covered - N/A,3. Partially covered,Not covered - N/A,Not covered - N/A
CP001431,Idleb,Idleb,Maaret Tamsrin, Al Rahmah(Zardana),"36.0388863645494,36.75292585976422",IS,130,110,75,70,385,0.06,0,1,1,1,0,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001432,Idleb,Idleb,Maaret Tamsrin,Al Andalus 1,"36.041499087587,36.75285897217691",IS,225,196,135,130,686,0.07,0,1,1,1,0,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001433,Idleb,Idleb,Maaret Tamsrin,Al Andalus 2,"36.03666671086103,36.75910357385874",IS,273,240,160,152,825,0.07,0,1,1,1,0,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001394,Idleb,Idleb,Idleb,Wadi Khahd,"35.943275671452284,36.59268943592906",IS,275,255,280,240,1050,0.07,0,1,0.3,0,0,,3. Partially covered,Not covered - N/A,1.Fully covered,3. Partially covered,Not covered - N/A,Not covered - N/A
CP001409,Idleb,Idleb,Idleb,Bishmaroun,"35.96005628351122,36.53596976771951",IS,40,35,75,50,200,0.06,0,1,1,1,0,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001369,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Bsheiriyeh,"35.8615819,36.40542026",IS,293,281,226,196,996,0,0,0,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001370,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Sbeilah,"35.86541634,36.41864023",IS,32,31,25,22,110,0,0,0,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001379,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Turkman Al Zaweih,"35.887452363967896,36.36994957923889",IS,90,70,100,76,336,0.55,0,0.55,0.66,0.48,0,,2.Mostly covered,Not covered - N/A,2.Mostly covered,2.Mostly covered,3. Partially covered,Not covered - N/A
CP001380,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Karout 1,"35.91022411,36.33199121",IS,80,70,105,87,342,0.75,0,0.74,0,0,0,,2.Mostly covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001381,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Masbah (Ahl Saraqeb) ,"35.91336186,36.34416602",IS,75,60,100,77,312,0.26,0.83,0.88,0.66,0.82,0,,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,Not covered - N/A
CP001382,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Tareek Alhamam ,"35.91027471,36.3618969",IS,118,127,97,83,425,0,1,1,1,1,0,,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001383,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Ahl Al Ez(Al Matar) ,"35.90149104595184,36.33505403995514",IS,275,195,180,125,775,0,0.25,0.84,0.8,0.84,0,,Not covered - N/A,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,Not covered - N/A
CP001384,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Ain Alsaleeb(Al Janubeih) ,"35.92672526836395,36.3253390789032",IS,13,13,10,9,45,0,0,0,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
