PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000654,Aleppo,Azaz,Azaz,Mukawamah*,"36.6423937304659,37.1261100198845",PC,5163,4356,3550,3227,16296,1,0.35,1,1,1,1,,1.Fully covered,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000015,Aleppo,Jarablus,Jarablus,Jarablus (Stadium),"36.8234357896492,38.0115929232619",IS,280,262,282,276,1100,1,0,1,1,1,0,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000017,Aleppo,Jarablus,Jarablus,Jarablus 4 (Jbel),"36.8112522006815,38.0091764309928",IS,1665,1639,2277,2292,7873,1,0,0.81,0.75,1,0,,1.Fully covered,Not covered - N/A,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A
CP000458,Aleppo,Jebel Saman,Atareb,Al Hersh,"36.1524886451661,36.7416947800666",IS,1450,1300,950,1050,4750,0.9,0.75,1,1,0.2,0.97,,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,3. Partially covered,2.Mostly covered
CP000557,Aleppo,Jebel Saman,Atareb,Sabroun Camp(Batbo) * ,"36.1461727973073,36.7261487804353",IS,815,630,840,910,3195,0.9,0,1,1,1,0.52,,2.Mostly covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered
CP000406,Aleppo,Jebel Saman,Atareb,Al Abiad-Kafar Karmeen ,"36.17390937,36.78282887",IS,646,683,411,353,2093,0.9,0.85,1,1,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000610,Aleppo,Jebel Saman,Atareb,Al-Madrasa*,"36.1499179573729,36.7237824015319",IS,110,87,95,81,373,0.85,0,1,0,0,0,,2.Mostly covered,Not covered - N/A,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000611,Aleppo,Jebel Saman,Atareb,Kafroma*,"36.1305084032937,36.7146823368966",IS,1700,2000,1500,1950,7150,1,0.4,1,1,0,0,,1.Fully covered,3. Partially covered,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A
CP000612,Aleppo,Jebel Saman,Atareb,Al-Bashakum*,"36.1197185050696,36.7182675283402",IS,520,550,400,428,1898,1,0.5,1,1,0,0.7,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered
CP000613,Aleppo,Jebel Saman,Atareb,Al Ezza *,"36.1898209294304,36.7889377009123",IS,2900,1800,1300,1100,7100,0.8,0,1,1,1,0.92,,2.Mostly covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered
CP000614,Aleppo,Jebel Saman,Atareb,Al Mansoura*,"36.1881606420502,36.7856899648904",IS,210,197,206,179,792,0.8,0,1,1,0,0.9,,2.Mostly covered,Not covered - N/A,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered
CP000718,Aleppo,Jebel Saman,Atareb,Hourti * ,"36.1353484913706,36.7796925455331",IS,100,97,160,123,480,0.6,0,1,0,0,0.8,,2.Mostly covered,Not covered - N/A,1.Fully covered,Not covered - N/A,Not covered - N/A,2.Mostly covered
CP000055,Idleb,Harim,Armanaz,Municipality building,"36.0836140019819,36.5037719439715",CC,40,35,25,22,122,1,0,1,1,1,1,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000434,Idleb,Harim,Bab Al Hawa,Al Bardakli,"36.21402542,36.73617659",IS,349,318,152,213,1032,0.8,1,1,1,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000060,Idleb,Harim,Bab Al Hawa,Al Nahdha,"36.1836063304076,36.6953877055779",IS,402,366,176,245,1189,0.8,1,1,1,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
