governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Idleb,Harim,Armanaz,Kuwaro - Um Elriyah,Armanaz,Afran dukhan,36.4681,36.0173,"36.017,36.468",CC,15,16,7,6,44,1,,,1,,,1. Fully covered,4. Not covered,4. Not covered,1. Fully covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Armanaz,Kuwaro - Um Elriyah,Armanaz,Kuwaro school,36.4701,36.0193,"36.019,36.470",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Azmarin,Salqin,East Ezmarin school,36.4214,36.056,"36.056,36.421",CC,29,25,14,12,80,1,1,0.4,1,1,1,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Azmarin,Salqin,New  Ezmarin school,36.4234,36.058,"36.058,36.423",CC,10,14,8,8,40,1,1,0.4,1,1,1,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Tellemar,Salqin,Tal Amar,36.4172,36.0578,"36.057,36.417",CC,2,1,1,1,5,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Tellemar,Salqin,Tal Amar School,36.4192,36.0598,"36.059,36.419",CC,11,9,6,6,32,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Saidiyeh - Salqin,Salqin,Al Saidiah Store,36.4239,36.0675,"36.067,36.423",CC,5,7,4,4,20,1,,1,1,1,1,1. Fully covered,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Saidiyeh - Salqin,Salqin,Knak Alsaidiah,36.4259,36.0695,"36.069,36.425",CC,12,10,10,8,40,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Kafr Hind,Salqin,Kafr Hind school,36.4298,36.0828,"36.082,36.429",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Kafr Hind,Salqin,Kafr Hend,36.4318,36.0848,"36.084,36.431",CC,10,13,9,8,40,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
