PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000553,Idleb,Harim,Deir Hassan,Abnaa alziara,"36.212248,36.744179",IS,67,67,47,44,225,0.5,0,0,0,0,1,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000273,Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.24040341,36.74051416",IS,870,792,619,508,2789,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000333,Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.24112212,36.74145123",IS,436,397,310,254,1397,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000407,Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.25088241,36.75187499",IS,960,874,683,560,3077,0.61,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000470,Idleb,Harim,Deir Hassan,Al Iman,"36.25254552,36.7407834",IS,827,753,589,483,2652,1,1,1,1,1,1,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000489,Idleb,Harim,Deir Hassan,Al Jesat,"36.25170995,36.74225982",IS,146,147,101,97,491,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000435,Idleb,Harim,Deir Hassan,Al Mansour,"36.23248889,36.733032",IS,429,390,305,250,1374,0.3,0,1,1,1,0,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000436,Idleb,Harim,Deir Hassan,Al Mazalem,"36.25271092,36.74449649",IS,142,130,101,83,456,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000334,Idleb,Harim,Deir Hassan,Al Nahda,"36.24963357,36.74237869",IS,1782,1622,1268,1040,5712,0.75,0.6,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000409,Idleb,Harim,Deir Hassan,Al Naief,"36.2476701,36.74530103",IS,217,198,155,127,697,1,1,1,1,1,1,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000437,Idleb,Harim,Deir Hassan,Al Nour (Deir Hassan),"36.24920808,36.74784505",IS,453,412,322,264,1451,1,1,1,1,1,1,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000274,Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.23588835,36.75313939",IS,1275,1160,907,744,4086,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000532,Idleb,Harim,Deir Hassan,Al Safa wa Al Basher,"36.22660809,36.73428109",IS,891,897,621,591,3000,0.2,0.2,0,0,0,1,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000476,Idleb,Harim,Deir Hassan,Al Shomaria,"36.25211649,36.74707485",IS,382,348,272,223,1225,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000340,Idleb,Harim,Deir Hassan,Al Wdhehee,"36.25739017,36.75094516",IS,1887,1718,1343,1101,6049,1,1,1,1,1,1,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000475,Idleb,Harim,Deir Hassan,Babes,"36.25265167,36.7459485",IS,140,128,100,82,450,1,1,1,1,1,1,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
