PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000063,Idleb,Harim,Sarmada,Al Ummah,"36.247425,36.702068",IS,184,177,156,163,630,0.5,0,0,1,0,1,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000062,Idleb,Harim,Sarmada,Al Sadaka,"36.131799,36.614381",IS,217,209,194,185,805,0.5,0,0,1,0,1,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,1. Fully covered
CP000060,Idleb,Harim,Bab Al Hawa,Al Nahdha,"36.106156,36.387444",IS,98,136,137,122,493,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000059,Idleb,Harim,Atmeh,Atmeh,"36.389744,36.686102",IS,17352,19881,15841,13779,66853,0.9,0.99,1,0.99,0.99,1,2. Mostly covered,2. Mostly covered,1. Fully covered,2. Mostly covered,2. Mostly covered,1. Fully covered
CP000045,Idleb,Harim,Al Dana,Al Dana,"36.22069,36.705731",IS,40,55,38,38,171,0.1,0,1,1,1,0,3. Partially covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000044,Idleb,Harim,Aqrabat,Aqrabat (Ahl Al-Athar),"36.221512,36.629882",IS,308,296,293,279,1176,0,1,1,1,1,0.9,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000017,Aleppo,Jarablus,Jarablus,Jarablus 4 (Jbel),"36.837979,38.046915",IS,1675,1400,1260,925,5260,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000016,Aleppo,Jarablus,Jarablus,Jarablus (Youth Centre),"36.85050328,38.04155",IS,128,100,95,82,405,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000015,Aleppo,Jarablus,Jarablus,Jarablus (Stadium),"36.737979,37.975051",IS,450,300,375,300,1425,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000014,Aleppo,Jarablus,Jarablus,Jarablus (Agricultural bank),"36.7909887,37.919483",IS,450,300,375,300,1425,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000011,Aleppo,Jarablus,Jarablus,Camp 5,"36.82082311,37.9865972",IS,1050,910,1080,825,3865,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000009,Aleppo,A'zaz,Azaz,"Shamarin (Dhahiat Al-Shuhada, Qatari)","36.644082,37.05867",IS,1474.76,1422.09,1211.41,1158.74,5267,0.98,1,1,1,1,0.96,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000008,Aleppo,A'zaz,Azaz,Sujjo,"36.644667,37.138829",IS,2977,2806,2233,2139,10154,0.89,1,1,1,1,0.76,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000007,Aleppo,A'zaz,Azaz,Al Harameen (and extensions),"36.551269,37.200675",TC,0,0,0,0,7110,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000005,Aleppo,A'zaz,Azaz,Bab Al Salame ,"36.656307,37.105711",IS,3002,2808,2033,1839,9682,0.93,1,1,1,1,0.91,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
