PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000470,Idleb,Harim,Deir Hassan,Al Iman,"36.254713,36.740189",IS,0,0,0,0,414,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000469,Idleb,Harim,Deir Hassan,Omar Al Farouk,"36.19478413,36.75172127",IS,0,0,0,0,701,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000468,Idleb,Harim,Deir Hassan,Defaf Al Furat,"36.202574,36.779048",IS,0,0,0,0,135,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000467,Idleb,Harim,Karama,Al Ber Wa Al Taqwaa (Karama) ,"36.2948583,36.700025",IS,139,163,53,3,358,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000466,Idleb,Harim,Deir Hassan,Badelha ,"36.24498,36.74167",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000465,Idleb,Harim,Deir Hassan,Ard Al Matar 2,"36.1981294,36.7614922",IS,0,0,0,0,701,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000464,Idleb,Harim,Deir Hassan,Ard Al Matar,"36.194216,36.746368",IS,0,0,0,0,430,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000463,Idleb,Harim,Deir Hassan,Kafr Obaid,"36.2409,36.76373",IS,0,0,0,0,659,0,0,1,1,1,0,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000462,Idleb,Harim,Deir Hassan,Al Gharbal,"36.19449,36.762211",IS,0,0,0,0,255,0.1,0,0,0,0,0,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000461,Idleb,Harim,Deir Hassan,Sons of Al Jazeera wa Al Furat,"36.202639,36.77759",IS,0,0,0,0,822,0,0,0,0,0,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered
CP000460,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 2,"36.002633,36.373093",IS,111,114,74,66,365,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000459,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 1,"36.002122,36.372635",IS,169,185,138,122,614,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000458,Aleppo,Jebel Saman,Atareb,Al Hersh,"36.158978,36.739076",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000457,Aleppo,Al Bab,Al Bab,Duyuf Al Sharqia,"36.3829206,37.4973539",IS,514,580,543,643,2280,0,0,0,0,0,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered
CP000456,Idleb,Harim,Sarmada,Al Sufara'a,"36.155784,36.741726",IS,30,22,17,0,69,0,1,1,1,1,0.88,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000455,Idleb,Harim,Bab Al Hawa,Al Qunetrat,"36.2419906,36.716525",IS,0,0,0,0,581,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000454,Idleb,Harim,Bab Al Hawa,Al Farja,"36.2398583,36.7186911",IS,0,0,0,0,635,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000453,Idleb,Harim,Sarmada,Islamuna 2,"36.2089633,36.7280811",IS,201,252,166,133,752,0,1,1,1,1,0.88,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
