governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Al Sijjad Factory,38.00955,36.8180833,"36.8180833,38.00955",CC,,,,,229,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Camp 5,38.0071472,36.8096611,"36.8096611,38.0071472",IS,129,127,74,70,400,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Jarablus (Agricultural bank),38.012233,36.823577,"36.823577,38.012233",IS,,,,,451,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Jarablus (Stadium),38.012361,36.823689,"36.823689,38.012361",IS,,,,,1325,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Jarablus (Youth Centre),38.01075,36.8218528,"36.8218528,38.01075",IS,,,,,405,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Aleppo,Jarablus,Jarablus,Jarablus,Jarablus,Jarablus 4 (Jbel),38.007675,36.811489,"36.811489,38.007675",IS,151,153,120,115,539,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Aleppo,Menbij,Menbij,Menbij,Menbij,Camp 2,37.9319639,36.5093111,"36.5093111,37.9319639",CC,,,,,650,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Ar Raqqa,Tell Abiad,Tell Abiad,Tell Abiad,Kassas,Kassas,39.0033028,36.6602028,"36.6602028,39.0033028",TC,,,,,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Tal Halawa,Sanjar,Tal Halawa,37.14182126,35.48279578,"35.48279578,37.14182126",IS,,,,,900,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Tellemara,Sanjar,Tellemara,37.081617,35.506978,"35.506978,37.081617",IS,,,,,300,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Maksar,Sanjar,Upper Maksar,36.781033,36.208853,"36.208853,36.781033",IS,,,,,300,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Maksar,Sanjar,Lower Maksar,37.093629,35.495661,"35.495661,37.093629",IS,,,,,150,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Mreijeb Elmashad,Sanjar,Mreijeb Elmashad,37.041832,35.478029,"35.478029,37.041832",IS,,,,,520,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Bashkum,Sanjar,Bashkum,37.090895,35.451385,"35.451385,37.090895",IS,,,,,300,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Bashkum,Sanjar,Khaldyiah,37.105839,35.445286,"35.445286,37.105839",IS,,,,,320,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Jeb Elqasab,Sanjar,Jeb Elqasab,37.099296,35.516898,"35.516898,37.099296",IS,,,,,400,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Abul Eleij,Sanjar,Abul Eleij,37.119724,35.524652,"35.524652,37.119724",IS,,,,,400,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Mreiheb,Sanjar,Mreijeb Slejah,37.151389,35.541387,"35.541387,37.151389",IS,,,,,900,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Ejaz,Sanjar,Western Ejaz,36.931474,35.622776,"35.622776,36.931474",IS,,,,,600,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
