PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP001249,Idleb,Harim,Salqin,Al Khairat ,"36.193343,36.413993",IS,462,448,307,253,1470,0.8,1,1,1,1,0,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001311,Idleb,Harim,Salqin,Al Jamiaa ,"36.13602,36.452423",IS,166,156,86,80,488,0.8,1,1,1,1,0,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001234,Idleb,Harim,Salqin,Souq alhal(Azmarin) ,"36.056658,36.404217",IS,63,55,57,49,224,0.8,1,1,1,1,0,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001257,Idleb,Harim,Salqin,Al Kamshliah ,"36.20309,36.412053",IS,52,44,45,36,177,0.8,1,1,1,1,0,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001258,Idleb,Harim,Salqin,Al Sharkiah ,"36.149865,36.490673",IS,17,18,12,14,61,0.8,1,1,1,1,0,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001259,Idleb,Harim,Salqin,Al Kastal ,"36.22309,36.412053",PC,102,92,87,76,357,0,0,0,1,1,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered,1.Fully covered,Not covered - N/A
CP001227,Idleb,Harim,Salqin,Allani,"36.199194,36.422051",IS,75,70,60,40,245,0,0,0,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001260,Idleb,Harim,Salqin,Al Tarahum,"36.182713,36.401434",IS,72,50,62,55,239,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001261,Idleb,Harim,Salqin,Faroukiyeh,"36.179194,36.412051",IS,242,234,184,175,835,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001262,Idleb,Harim,Salqin,Maamal Faroukiyeh,"36.181024,36.403734",IS,530,447,364,331,1672,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001310,Idleb,Harim,Salqin,Hj Jumaa ,"36.199194,36.4126",IS,177,149,122,111,559,0.8,1,1,1,1,0,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001283,Idleb,Harim,Qourqeena,Huwayer Alees,"36.128529,36.660194",IS,330,345,180,200,1055,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001284,Idleb,Harim,Qourqeena,DOF2(Kafr Aruq),"36.119373,36.667083",PC,240,319,181,112,852,0,0,1,0,0,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001308,Idleb,Harim,Qourqeena,Al Nabaa ,"36.087351,36.58402",IS,88,102,61,55,306,0,0,0.5,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001288,Idleb,Harim,Kafr Takharim,Ahl Aleaaz,"36.109447,36.51156",IS,213,197,117,121,648,0,0,0.5,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001289,Idleb,Harim,Kafr Takharim,Malaab Alsuma,"36.118683,36.512428",IS,351,413,206,197,1167,0,0,0.5,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001290,Idleb,Idleb,Kelly,Abad,"36.130158,36.695876",IS,142,120,98,89,449,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001291,Idleb,Idleb,Kelly,Abo Maki Arabbia,"36.123293,36.710437",IS,150,130,110,100,490,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001292,Idleb,Idleb,Kelly,Talmenes,"36.117537,36.691148",IS,50,55,50,45,200,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001293,Idleb,Idleb,Kelly,Doyouf Almaara,"36.150286,36.69787",IS,277,324,188,156,945,0.8,1,1,1,1,0,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP001294,Idleb,Idleb,Kelly,Ata Llah,"36.115695,36.694895",IS,135,120,90,85,430,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001295,Idleb,Idleb,Kelly,Ataa Alkhair3 ,"36.139158150181174,36.682054018601775",IS,140,130,70,60,400,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001296,Idleb,Idleb,Kelly,Ataa 3 (Kelly) ,"36.140474,36.680924",IS,194,164,133,121,612,0,0,0.5,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001297,Idleb,Idleb,Kelly,Maamal Alblouk ,"36.102175,36.702646",IS,113,90,87,80,370,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001298,Idleb,Idleb,Kelly,Wadi Ghazal,"36.124984,36.704794",IS,60,55,55,45,215,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001299,Idleb,Idleb,Kelly,Maarbalit 2 ,"36.103562,36.685708",IS,230,200,160,150,740,0,0,0.5,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001300,Idleb,Idleb,Kelly,Yahya Kharzoum ,"36.113333,36.689251",IS,200,150,130,120,600,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001304,Idleb,Idleb,Maaret Tamsrin,Al Diab ,"36.073221,36.667363",IS,250,220,135,110,715,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001305,Idleb,Idleb,Maaret Tamsrin,Al Ghabah ,"36.065794,36.681272",IS,133,128,101,96,458,0,0,0.5,0,1,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001307,Idleb,Idleb,Maaret Tamsrin,Al Bitab,"36.018453,36.668264",IS,276,266,209,200,951,0,0,0.5,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001247,Idleb,Idleb,Batenta,Al Damen ,"36.008746,36.630034",IS,114,110,86,83,393,0,0,1,0,0,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001248,Idleb,Idleb,Batenta,Abo Bakr Alsdeek(Batentah) ,"36.007147,36.618101",IS,152,147,116,110,525,0,0,1,0,0,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001275,Idleb,Idleb,Hazano,Al Kharab,"36.094663,36.72781",IS,132,127,100,95,454,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001276,Idleb,Idleb,Hazano,Al Ziawi,"36.087057,36.727676",IS,60,50,50,40,200,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001277,Idleb,Idleb,Hazano,Al Saeed,"36.084788,36.728881",IS,35,25,20,20,100,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001278,Idleb,Idleb,Hazano,Al Abdullah ,"36.080968,36.716497",IS,90,80,70,60,300,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001279,Idleb,Idleb,Hazano,Al Mansour(Hazano),"36.086152,36.722714",IS,120,110,90,80,400,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001280,Idleb,Idleb,Hazano,Othman Bin Affan (Hazano) ,"36.093238,36.713958",IS,113,109,85,81,388,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001281,Idleb,Idleb,Hazano,Kaziet Badleh,"36.075248,36.707467",IS,298,275,203,199,975,0,0,1,0,1,1,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP001320,Idleb,Idleb,Maaret Tamsrin,Al Eman Billah(Taltuneh),"36.006537,36.58967",IS,0,0,0,0,0,0,0,0,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001286,Idleb,Idleb,Kafr Jales,Wadi Ali,"35.981626,36.621544",IS,77,76,57,47,257,1,1,1,0,1,0,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001274,Idleb,Idleb,Haranbush,Maarrat Dibsah,"36.062103,36.6383",IS,56,53,48,37,194,1,1,1,0,1,0,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001287,Idleb,Idleb,Kafr Nabi,Al Maasarah(Kafr Nabi) ,"36.039799,36.593811",IS,215,207,163,155,740,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001266,Idleb,Idleb,Maaret Tamsrin,Maryam Extension,"35.994347,36.646496",IS,0,0,0,0,0,0,0,0,0,0,0,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001316,Idleb,Idleb,Idleb,Al Fidaa ,"35.922725,36.551424",IS,90,79,65,50,284,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
CP001317,Idleb,Idleb,Idleb,Al Fidaa Extension ,"35.934579,36.557269",IS,130,105,86,63,384,0,0,1,0,1,0,,Not covered - N/A,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,Not covered - N/A
