governorate,district,Sub District,Community,cluster,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Hama,Hama,Hamra,Jeb Elsafa,Sanjar,"35.4325344,37.197752",IS,54,51,59,55,219,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Hama,Hama,Hamra,Jeb Elsafa,Sanjar,"35.453041,37.1951435",IS,132,131,78,69,410,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Hama,Hama,Hamra,Muwaileh Abu Dahab,Sanjar,"35.3716895,37.1371355",IS,110,83,101,94,388,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Hama,Hama,Hamra,Rasm Hamam,Sanjar,"35.4052738,37.1800737",IS,66,67,22,18,173,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Heish,Abu Habbeh,Sanjar,"35.5442031,36.7615311",IS,233,236,166,148,783,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Heish,Maysruneh,Sanjar,"35.5663786,36.7457247",IS,67,81,53,47,248,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Ma'arrat An Nu'man,Halbeh,Sanjar,"35.5687906,36.7877804",IS,69,75,49,53,246,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Abul Eleij,Sanjar,"35.5211664,37.110913",IS,84,69,57,55,265,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Bashkum,Sanjar,"35.4457007,37.0968143",IS,75,59,77,68,279,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Bashkum,Sanjar,"35.4358155,37.1142738",IS,62,62,62,54,240,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Ejaz,Sanjar,"35.6148973,36.9283088",IS,31,40,18,24,113,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Ejaz,Sanjar,"35.613235,36.9285337",IS,178,169,154,131,632,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Fahil Jallas,Sanjar,"35.5300722,36.9597114",IS,33,57,19,15,124,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Hawa,Sanjar,"35.4512301,37.0545078",IS,32,30,36,32,130,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Jeb Elqasab,Sanjar,"35.5133755,37.1057089",IS,41,21,23,17,102,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Karsanti,Sanjar,"35.604826,36.8582304",IS,61,39,60,39,199,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Little Khayriyeh,Sanjar,"35.4929498,37.1465195",IS,31,34,29,34,128,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Maksar,Sanjar,"35.4945795,37.0874256",IS,47,39,15,12,113,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Maksar,Sanjar,"36.2117818,36.7812791",IS,66,39,59,58,222,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Mardagana Burtuqala,Sanjar,"35.5770641,37.0189995",IS,18,19,18,15,70,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Mreiheb,Sanjar,"35.5310242,37.1568773",IS,113,132,108,90,443,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Mreijeb Elmashad,Sanjar,"35.4825767,37.0334522",IS,77,83,85,65,310,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Northern Lweibdeh,Sanjar,"35.5351419,36.9352979",IS,85,82,51,78,296,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Ojeh,Sanjar,"35.6488463,37.0563387",IS,42,57,36,22,157,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Qatra,Sanjar,"35.647263,36.8810828",IS,34,35,39,39,147,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Rasm Elabed,Sanjar,"35.5224362,37.0115958",IS,145,130,112,94,481,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Sanjar,Sanjar,"35.5686705,37.0797317",IS,84,94,33,30,241,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Seraa,Sanjar,"35.5292094,37.1140846",IS,167,148,73,81,469,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Tal Halawa,Sanjar,"35.4737718,37.136626",IS,316,330,295,266,1207,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Sanjar,Tellemara,Sanjar,"35.5033078,37.0798962",IS,24,21,24,25,94,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Tamanaah,Farja,Sanjar,"35.5146938,36.8183622",IS,249,234,170,165,818,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Tamanaah,Farja,Sanjar,"35.5117817,36.8454032",IS,30,25,21,20,96,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Tamanaah,Raffa,Sanjar,"35.5308294,36.7964351",IS,81,84,56,47,268,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Tamanaah,Raffa,Sanjar,"35.552861,36.7877131",IS,28,24,13,15,80,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Tamanaah,Raffa,Sanjar,"35.5527371,36.7947591",IS,140,146,90,80,456,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Tamanaah,Sahal,Sanjar,"35.5545255,36.882303",IS,90,84,57,49,280,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Al Ma'ra,Tamanaah,Tal Shih,Sanjar,"35.5197993,36.8058802",IS,164,156,115,105,540,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Aqrabat,Aqrabat,"36.2616612,36.7102148",IS,172,163,170,140,645,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Atmeh,"36.3130661,36.66262",IS,14952,17283,13449,11808,57492,0.9,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Bab El Hawa (Dana),Bab Al Hawa,"36.2253106,36.6902305",IS,148,142,126,111,527,1,,,,,1,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,"36.1208562,36.4418675",IS,94,116,102,102,414,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,"36.1997498,36.7047327",IS,160,153,136,119,568,,,1,1,,1,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,"36.2237702,36.560124",IS,93,89,79,69,330,1,,1,1,1,1,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,"36.2156,36.728936",IS,69,67,65,64,265,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,"36.2195205,36.6887235",IS,298,287,255,223,1063,,,,,1,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,"36.2115143,36.7194284",IS,37,34,31,27,129,,,,,,1,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,"36.235808,36.6880765",IS,323,311,276,242,1152,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,"36.2209989,36.7204454",IS,83,80,72,63,298,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Sarmada,Bab Al Hawa,"36.1847447,36.6820807",IS,399,384,342,299,1424,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Termanin,Bab Al Hawa,"36.2308514,36.8220169",IS,31,30,26,23,110,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Kafrina,"36.1370767,36.4226191",IS,485,468,416,364,1733,1,,,,,1,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,
