PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000481,Idleb,Jisr-Ash-Shugur,Darkosh,Al Faroq (Darkosh) ,"35.9861167,36.3560722",IS,102,111,161,146,520,0.75,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000341,Idleb,Jisr-Ash-Shugur,Darkosh,Ali Bin Abi Taleb (Dorriyeh) ,"35.993814,36.304855",IS,176,226,242,182,826,0.7,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000329,Idleb,Jisr-Ash-Shugur,Darkosh,Othman Bin Affan (Darkosh),"35.9031040420001,36.1909764500001",IS,135,123,126,125,509,0.75,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000238,Idleb,Jisr-Ash-Shugur,Darkosh,Meriamen,"35.9031040420001,36.1909764500001",IS,17,15,10,9,51,0.2,1,1,1,1,0.2,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered
CP000480,Idleb,Jisr-Ash-Shugur,Darkosh,Sheikh Essa,"35.9134611,36.378475",IS,131,144,90,84,449,0.5,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000459,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 1,"36.002122,36.372635",IS,120,120,101,101,442,0.75,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000460,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 2,"36.002633,36.373093",IS,162,139,135,137,573,0.75,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000447,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 3,"36.0055972,36.3731389",IS,97,108,109,95,409,0.5,1,1,1,1,0.5,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000448,Idleb,Jisr-Ash-Shugur,Darkosh,Al Aman (Darkosh),"35.9793917,36.3418278",IS,101,112,97,114,424,0,1,1,1,1,0,Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Not covered - N/A
CP000432,Idleb,Jisr-Ash-Shugur,Darkosh,Al Wafa (Darkosh),"35.9629347,36.3367628",IS,67,49,71,73,260,0.75,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000330,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Az-Zawf 1 (Sham),"35.9031040420001,36.1909764500001",IS,324,266,183,212,985,0.5,1,1,1,1,0.75,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000300,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Az-Zawf 2 (Sadaka Tashi),"35.941644,36.198236",PC,324,359,330,366,1379,0.5,1,1,1,1,0.75,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000289,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Az-Zawf 3 (Al Ikhaa),"35.95015,36.211705",IS,464,371,296,264,1395,0.5,1,1,1,1,0.75,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000331,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Kaderiyeh,"35.915600696,36.301948886",IS,24,36,29,27,116,0.9,0.25,0.9,0.7,0.9,1,2. Mostly covered,3. Partially covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,1. Fully covered
