governorate,district,Sub District,Community,cluster,camp_name,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Shahba'2,"36.2209989,36.7204454",IS,83,80,72,63,298,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Sarmada,Bab Al Hawa,Taiba City,"36.1847447,36.6820807",IS,399,384,342,299,1424,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Termanin,Bab Al Hawa,Termanin,"36.2308514,36.8220169",IS,31,30,26,23,110,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Salqin,Kafarna,Kafrina,Ayidoun,"36.1882467,36.4345654",PC,546,549,546,431,2072,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Salqin,Kafarna,Kafrina,Kadimoon,"36.1642357,36.4036915",PC,517,466,316,314,1614,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Salqin,Kafarna,Kafrina,Samidoon,"36.1709905,36.4155964",PC,551,543,559,419,2072,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Salqin,Kafarna,Kafrina,Kefreneh school,"36.1993074,36.4501698",CC,15,13,7,6,41,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Kafrina,Al Safsafa,"36.1370767,36.4226191",IS,485,468,416,364,1733,1,,,,,1,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Salqin,Delbiya,Kafrina,Al Taakhi,"36.1368179,36.3902373",IS,429,404,327,290,1450,1,,,,,1,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Abu Obeida Ben Aljaraah,"36.2422674,36.7528582",IS,99,110,520,89,818,1,1,,,,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.2462232,36.7579409",IS,350,431,181,160,1122,1,1,0.5,1,0.5,1,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered,3. Partially covered,1. Fully covered,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Ghetaa Al Rahma 1,"36.2353916,36.7501868",IS,76,72,305,45,498,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Nasaem Al Khayr,"36.2448301,36.7453538",IS,437,483,563,478,1961,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Nour Al Houda,"36.2337961,36.7520411",IS,169,158,172,207,706,1,1,,1,1,1,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Sons of Mehin,"36.2474076,36.7256859",IS,623,600,534,467,2224,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Ahl Al Balad,"36.2334134,36.740031",IS,143,126,111,113,493,1,1,1,1,0.5,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Nahda,"36.2441149,36.7535255",IS,355,428,738,704,2225,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Zamzam,"36.245607,36.748384",IS,117,113,100,88,418,1,1,1,1,0.5,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Ebtieen,"36.2374653,36.7709952",IS,83,91,49,52,275,1,1,1,1,0.5,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Mashhad,"36.2398343,36.7550489",IS,103,94,70,80,347,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Reef Aleppo,"36.2341843,36.7653844",IS,94,84,96,93,367,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Tal Al Karama,"36.2338707,36.7670141",IS,186,301,95,95,677,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Wdhehee,"36.2559321,36.7591229",IS,75,72,64,56,267,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Hezreh - Hezri,Deir Hassan,Al Foqaraa (The Poor),"36.2273881,36.7846533",IS,,,,,986,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Salqin,Allani,Salqin,Al Alani school,"36.1510343,36.3820229",CC,42,40,20,17,119,1,,0.6,1,1,1,1. Fully covered,4. Not covered - N/A,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Allani,Salqin,Al Fath,"36.1519941,36.3829926",CC,,,,,137,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Salqin,Msheirfeh (Salqin),Salqin,Al Meshrefeiah school,"36.1781026,36.3818387",CC,34,28,32,28,122,1,,,1,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Salqin,Jeser Maksour,Salqin,Jeser Almaksour ,"36.1782546,36.374927",CC,9,9,8,6,32,1,,0.5,1,1,1,1. Fully covered,4. Not covered - N/A,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Salqin,Ahmad Hameesh,"36.145526,36.444596",CC,63,59,38,25,185,1,,0.6,1,1,1,1. Fully covered,4. Not covered - N/A,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Salqin,Al Balaneh school,"36.1471262,36.4468649",CC,4,5,2,2,13,1,,0.7,,1,1,1. Fully covered,4. Not covered - N/A,2. Mostly covered,4. Not covered - N/A,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Salqin,Al Banin school,"36.1366042,36.4592376",CC,43,41,18,18,120,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Salqin,Al Ezzawi school,"36.1371621,36.4464979",CC,72,61,27,23,182,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Salqin,Al Faroqia school,"36.1445501,36.4506961",CC,24,18,11,11,64,1,,,,1,1,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Salqin,Al Sakan Al Shababi,"36.1369581,36.4501482",CC,109,92,44,46,290,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Salqin,Al Tajneed,"36.1463744,36.4473854",CC,11,11,4,4,30,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Salqin,Al Thawra school,"36.1300101,36.4628194",CC,42,46,21,17,125,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Salqin,Salqin,Rawdat Azhar Nessan,"36.142168,36.4493349",CC,11,6,3,3,24,1,,0.5,1,1,1,1. Fully covered,4. Not covered - N/A,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Salqin,Tellemar,Salqin,Tal Amar,"36.0494919,36.412728",CC,2,1,1,1,5,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Act and Impact (Athar),"36.301583,36.6952719",IS,253,215,161,139,768,1,1,1,1,1,0.2,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,
Idleb,Harim,Dana,Atma,Karama,Ahel Al Sham,"36.3005183,36.698685",IS,200,198,117,115,630,0.9,1,1,1,1,,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Ahel Halep,"36.2987386,36.6922371",IS,169,127,110,97,503,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Ahrar,"36.2985399,36.7028055",IS,305,277,274,238,1094,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Amal Bil Awdah,"36.2980252,36.6996397",IS,131,139,105,121,496,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Aqsa,"36.2907861,36.7078345",IS,211,143,176,139,670,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Asil,"36.2861882,36.7003379",IS,254,253,147,144,797,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Ataa,"36.2941339,36.7073247",IS,233,199,144,127,702,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Ayade Al Baydaa,"36.3031352,36.6843464",IS,,,,,287,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Fadal,"36.298956,36.701079",IS,185,146,117,95,543,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Faraj,"36.3046685,36.7009658",IS,283,297,199,172,951,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Farouk,"36.2977037,36.7089288",IS,244,233,171,159,807,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Ghab Al Mankoub,"36.3007603,36.6926121",IS,170,184,166,190,710,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Haneen,"36.3161256,36.687186",IS,,,,,400,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Haq,"36.2962224,36.7038294",IS,133,137,137,103,510,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Hijaz,"36.3013805,36.6996575",IS,142,150,107,122,521,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Ikhaa,"36.2995238,36.6968581",IS,334,369,297,301,1301,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Ikhlas,"36.2975751,36.6865988",IS,178,214,145,146,683,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Jabal,"36.3142514,36.6854919",IS,,,,,266,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Aleman Billah,"36.2870327,36.7054448",IS,233,226,189,179,828,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Karama,"36.2906758,36.7092848",IS,745,774,643,759,2921,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Karim Al Awsat,"36.312473,36.6949947",IS,,,,,425,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Mahabbah,"36.2863885,36.6942713",IS,221,214,147,146,728,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Manara,"36.2899796,36.6934346",IS,223,159,140,137,659,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Mustakbal,"36.3043951,36.6981503",IS,247,257,170,167,842,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Nahda Aleslamia,"36.3024329,36.6994182",IS,210,218,183,131,743,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Nour,"36.296251,36.7128997",IS,196,174,153,142,666,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Resalah (extension of Doaa  Doaa & Saleh),"36.2970093,36.6955065",IS,111,102,84,79,376,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Al Safa,"36.2973258,36.6944398",IS,243,186,192,196,816,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Al Shuhada,"36.2995501,36.6976434",IS,138,161,145,56,500,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Atfal Alghad,"36.2928089,36.6948901",IS,166,174,112,102,554,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Doaa,"36.2949682,36.7026728",IS,344,338,304,308,1294,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Doaat Al Kwait (Al Khayrat),"36.2981258,36.7018184",IS,174,166,166,182,687,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Harameen,"36.2835714,36.7036906",IS,212,173,170,165,721,1,1,1,1,,0.1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,3. Partially covered,
Idleb,Harim,Dana,Atma,Karama,Kura Mankouba,"36.2996209,36.7000858",IS,150,144,143,139,576,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Moatakalen Sahl Al Gab,"36.3081709,36.698959",IS,,,,,1238,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Nasret Al Mazloum,"36.2982733,36.6835969",IS,289,315,226,228,1058,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Nour Al Mustafa,"36.2882311,36.6875771",IS,256,254,193,193,896,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Nour Al Mustakbal,"36.2912703,36.6965111",IS,195,195,174,172,736,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Nour Al Sham,"36.2968812,36.6990077",IS,132,124,99,91,446,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Nour Hama,"36.3096597,36.6944999",IS,,,,,179,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Qadisiya,"36.2968035,36.7176739",IS,185,237,196,183,800,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Rajaa,"36.2973936,36.7024119",IS,186,207,170,159,722,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Rawdah,"36.2907742,36.6896669",IS,135,135,97,97,463,,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Reef Hama Mankouba,"36.3056356,36.7040746",IS,227,212,162,158,759,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Salah Eldin (including Al Islah),"36.3047413,36.6994222",IS,410,493,385,333,1620,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Sedik (Extension of Al Aqsa),"36.2953765,36.6918087",IS,61,59,52,51,223,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Shaheid Saleh,"36.2972193,36.6866172",IS,228,223,143,139,733,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Shams Al Hurriya,"36.2912881,36.6982777",IS,301,255,300,311,1168,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Shuhada Sahl Al Gab,"36.3176055,36.6840037",IS,,,,,608,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Sons of Homs (Abna Homs),"36.290375,36.6958468",IS,194,189,169,136,688,0.9,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Tabarak Al Rahman,"36.2908236,36.7093951",IS,168,155,189,150,662,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Taibah,"36.3028194,36.6979121",IS,277,249,286,263,1075,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Tajammu,"36.2975661,36.6970757",IS,42,41,34,32,149,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Atma,Karama,Watasimu (including Tadamun and Sahl Al Ghab),"36.2917162,36.7001238",IS,599,588,675,555,2418,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Yasmeen Al Sham,"36.3010779,36.6912668",IS,417,411,253,252,1333,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Atma,Karama,Zahret Al Madaen,"36.3006748,36.7077661",IS,241,239,158,154,791,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Ain Jaloot,"36.3052945,36.7168402",IS,46,60,61,44,210,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Al Aasy,"36.2933931,36.7038041",IS,207,210,184,194,795,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Al Fateh Al Araby,"36.2992254,36.7277938",IS,104,136,117,88,444,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Al Hurriya wa Adalah,"36.3047655,36.7157568",IS,382,379,213,259,1233,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Al Ikhlas and Al Taqua,"36.30255,36.7358038",IS,266,352,179,135,932,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Qah,Liyajlikum,Al Nawaeer,"36.2847652,36.7140184",IS,461,618,320,321,1719,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Al Shrouk,"36.2871043,36.7032078",IS,168,155,151,149,623,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,
Idleb,Harim,Dana,Qah,Liyajlikum,Bara`m Al Thawra,"36.3003062,36.7163763",IS,161,213,142,108,624,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Children of Freedom Martyrs,"36.2827526,36.7145062",IS,125,124,99,102,450,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Farajak Yarab,"36.2988595,36.7146138",IS,74,97,36,28,234,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Fardoose,"36.2973168,36.7166968",IS,233,238,147,139,757,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Fateh Aleslam,"36.3011536,36.7313196",IS,110,145,123,94,472,,1,1,1,,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Korayish (Al Khair),"36.2881108,36.7113609",IS,231,211,136,119,697,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Lan Narka`llla Lilah,"36.289228,36.7051917",IS,344,401,399,320,1464,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Liyajlikum,"36.2869651,36.7116216",IS,367,338,211,206,1122,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Qassioun,"36.2886007,36.7043638",IS,136,169,141,127,572,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,
Idleb,Harim,Dana,Qah,Liyajlikum,Toyor Al Janna (Heaven Bird's),"36.284137,36.7070779",IS,190,186,159,165,700,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,
