governorate,district,Sub District,Community,cluster,camp_name,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Aleppo,Menbij,Menbij,Menbij,Random,Een Al Nkeel,"36.5275216,37.96152",CC,,,,,210,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,Menbij,Menbij,Menbij,Random,Om Tmak,"36.5265176,37.9513684",CC,,,,,360,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Aleppo,Menbij,Menbij,Menbij,Random,Tok Alklel,"36.5342678,37.9566469",CC,,,,,612,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,Baoda,"35.8268446,38.61546",IS,,,,,8,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,Hamam,"35.8335466,38.6210208",IS,,,,,5,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,Khadour,"35.8328772,38.6087245",CC,,,,,156,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,Kharameza,"35.8308777,38.6162502",CC,,,,,96,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,Saqeah,"35.8411168,38.6197384",CC,,,,,174,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Ar Raqqa,Ath-Thawrah,Mansura,Sefsafa (Mansura),Sasafa,Sasafa,"35.8311792,38.6053178",IS,,,,,18,1,,,,,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
Deir-ez-Zor,Al Mayadin,Al Mayadin,Saalu,Saalu,Sa'lo 1 - Agricultural Research,"35.144297,40.3884466",CC,,,,,570,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,
