PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000460,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 2,"36.0036943824186,36.3720603577126",IS,134,137,108,88,467,0.75,1,1,1,1,0,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000447,Idleb,Jisr-Ash-Shugur,Darkosh,Aleppo 3,"36.0052450384929,36.3729562069658",IS,222,261,189,149,821,0.5,1,1,1,1,0,,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000448,Idleb,Jisr-Ash-Shugur,Darkosh,Al Aman (Darkosh) ,"35.9628755826137,36.33681176105",IS,321,385,329,297,1332,0,1,1,1,1,0,,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000432,Idleb,Jisr-Ash-Shugur,Darkosh,Al Wafa (Darkosh) ,"35.962811736347,36.3367802466377",IS,132,145,133,119,529,0.8,1,0.9,0.84,0.85,0.6,,2.Mostly covered,1.Fully covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000866,Idleb,Jisr-Ash-Shugur,Darkosh,Alraiat Albaydaa ,"35.934042,36.336943",IS,169,141,243,208,761,0.8,0.4,0.85,0.75,0.1,0.4,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,3. Partially covered,3. Partially covered
CP000330,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Az-Zawf 1 (Sham),"35.9402739684704,36.1981467508483",IS,1460,1257,1302,1466,5485,0.5,1,1,1,1,0,,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000300,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Az-Zawf 2 (Sadaka Tashi),"35.9412703170958,36.1994121755428",PC,718,586,737,792,2833,0.5,1,1,1,1,0,,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000289,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Az-Zawf 3 (Al Ikhaa),"35.9484436127588,36.2108741541963",IS,407,371,398,474,1650,0.5,1,1,1,1,0,,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000683,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Bayt Soufan,"35.91632491,36.18710321",IS,68,134,113,96,411,0.7,0.85,0.91,0.89,0.87,0.89,,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000684,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Kafilt Alkhair,"35.947949,36.205759",IS,145,178,156,134,613,0.9,0.9,0.91,0.89,0.91,0.9,,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
