PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000283,Aleppo,Jebel Saman,Atareb,Ra'a,"36.1086079571396,36.7474378924816",IS,340,400,205,185,1130,0.4,1,1,1,1,0,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A
CP000499,Aleppo,Jebel Saman,Atareb,Carpet factory ,"35.9159907342864,36.1860126712716",CC,8,8,9,9,34,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000498,Aleppo,Jebel Saman,Atareb,Industrial Secondary ,"36.133131,36.822745",CC,100,75,75,80,330,1,1,0,0,0,0,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000458,Aleppo,Jebel Saman,Atareb,Al Hersh,"36.1524886451661,36.7416947800666",IS,890,885,490,447,2712,1,1,0.5,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000492,Aleppo,Jebel Saman,Atareb,Qortoba,"36.1310590105131,36.7254067305475",IS,400,200,150,160,910,0.5,1,0,0.6,1,1,Not covered - N/A,1.Fully covered,Not covered - N/A,2.Mostly covered,1.Fully covered,1.Fully covered
CP000556,Aleppo,Jebel Saman,Atareb,Tal Nawaz,"36.1204743012785,36.7630110494792",IS,159,181,136,117,593,1,0,0,0,0,1,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000557,Aleppo,Jebel Saman,Atareb,Sabroun Camp(Batbo),"36.1461727973073,36.7261487804353",IS,469,453,285,263,1470,0.5,0,0.5,1,1,1,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered
CP000561,Aleppo,Jebel Saman,Atareb,Hab Abyad,"36.1333,36.72578",IS,65,65,60,60,250,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000406,Aleppo,Jebel Saman,Atareb,Al Abiad-Kafar Karmeen,"36.17390937,36.78282887",IS,646,683,411,353,2093,0.9,0.85,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000419,Aleppo,Jebel Saman,Atareb,Mezanaz Transit_Reception Centre,"36.058726,36.860202",T/RC,389,495,459,424,1767,1,1,0,0,0,0,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000525,Idleb,Al Mara,Maarrat An Numan,Al Sarman,"35.6003077654168,36.8560174014419",IS,62.4,56.8,44.4,36.4,200,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000055,Idleb,Harim,Armanaz,Municipality building,"36.0857642116025,36.5002619381994",CC,181,196,145,137,659,0.89,0.39,0,0,0,0,2.Mostly covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000059,Idleb,Harim,Atma,Atma,"36.322614,36.663372",IS,34505,31408,24551,20128,110592,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000434,Idleb,Harim,Bab Al Hawa,Al Bardakli,"36.21399304,36.73606186",IS,56,63,52,246,417,0.2,0,0,0,0,0,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000060,Idleb,Harim,Bab Al Hawa,Al Nahdha,"36.20490367,36.72939866",IS,189,190,131,125,635,1,0.8,0,0,0,1,1.Fully covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000066,Idleb,Harim,Bab Al Hawa,Aysha,"36.218453,36.691215",IS,164,163,171,149,647,0,0,0,0,0,0,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000067,Idleb,Harim,Bab Al Hawa,Shahba'1 (Bab Al Hawa Lower/1),"36.2143380781497,36.7160662450623",IS,347,350,242,230,1169,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000451,Idleb,Harim,Bab Al Hawa,Umut Camp,"36.22680786,36.71998324",PC,1860,1493,1552,1200,6105,1,1,0,0,0,0,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000452,Idleb,Harim,Bab Al Hawa,Yalniz Degilsiniz 2,"36.237125,36.7157861",PC,229,188,111,93,621,1,1,0,0,0,0,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000533,Idleb,Harim,Deir Hassan,Al Khair,"36.2151056,36.7438056",IS,247,248,172,164,831,0.15,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000569,Idleb,Harim,Bab Al Hawa,Aldiaa,"36.2137862633203,36.6670155386221",IS,227,229,158,151,765,0.9,0.9,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000534,Idleb,Harim,Deir Hassan,Wadi Alazeeb,"36.21581656,36.74365304",IS,183,184,127,121,615,0.2,0.2,0,0,0,1,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000535,Idleb,Harim,Deir Hassan,Al Salam (Deir Hassan) ,"36.21133867,36.74626531",IS,150,151,105,99,505,0.2,0.2,0,0,0,1,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000541,Idleb,Harim,Deir Hassan,Al-Baraka,"36.25445684,36.75148756",IS,493,496,344,327,1660,0.25,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000542,Idleb,Harim,Deir Hassan,Al-Nashmy ,"36.21121376,36.75721139",IS,198,149,202,101,650,0.6,0,0,0,0,0,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000543,Idleb,Harim,Deir Hassan,Al-Waleed-Der hassan ,"36.21141694,36.74972834",IS,71,83,98,83,335,1,0,0,0,0,1,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000544,Idleb,Harim,Deir Hassan,Al-Naeemiia,"36.21249538,36.74769443",IS,166,167,116,110,559,0.5,0,0,0,0,1,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000545,Idleb,Harim,Deir Hassan,Om Twaina,"36.21226713,36.74790189",IS,143,144,99,95,481,0.6,0,0,0,0,1,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000547,Idleb,Harim,Deir Hassan,Al-Ahmad,"36.213842,36.744991",IS,168,169,117,111,565,0.1,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000548,Idleb,Harim,Deir Hassan,Aldarraj,"36.2119185,36.74754964",IS,92,93,64,61,310,0.15,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000549,Idleb,Harim,Deir Hassan,Tal alhattabat,"36.25805405,36.75183287",IS,89,90,62,59,300,0.3,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000550,Idleb,Harim,Deir Hassan,Om Qbaiba,"36.210318,36.752846",IS,91,91,63,60,305,0.15,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000553,Idleb,Harim,Deir Hassan,Abnaa alziara,"36.212248,36.744179",IS,52,52,36,34,174,0.5,0,0,0,0,1,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
