governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Harim,Salam,Al Awdah,"36.360032732,36.697404884",IS,35,49,39,37,160,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Ayade Al Baydaa,"36.2322905710001,36.641295776",IS,110,113,94,84,401,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Qah,Al Bayan,"36.264627,36.69341",IS,209,186,216,189,800,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.324594,36.68411",IS,407,253,326,237,1223,0.9,0.9,0.5,0.7,0.1,0.75,2. Mostly covered,2. Mostly covered,3. Partially covered,2. Mostly covered,3. Partially covered,2. Mostly covered
Idleb,Harim,Al Dana,Al Dana,"36.22069,36.705731",IS,37,52,32,32,153,0.1,1,1,1,0.1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Ezza,"36.150756,36.833892",IS,285,296,195,164,940,0.15,1,1,1,0.15,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Karama,Al Fadal,"36.292917,36.728794",IS,194,153,126,102,575,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Faraj,"36.279604,36.700114",IS,341,348,236,204,1129,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Sarmada,Al Faraj (Al Ghab),"36.200495,36.616129",IS,317,429,283,346,1375,0.5,1,1,1,0,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Al Farja Al Gharbi,"35.5895747,36.90159235",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
