governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Hama,Hama,Sanjar,Ob Alkhazneh,"35.495699,37.199601",IS,55,54,51,42,202,0.5,0.5,0.25,,0.5,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Hama,Hama,Sanjar,Abla,"35.5261762,37.1219294",IS,54,51,59,55,219,0.4,0.25,0.25,,0.5,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Hama,Hama,Sanjar,Aziziyeh,"35.42465,37.22043",IS,147,137,88,71,443,0.75,0.5,0.1,,0.5,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Hama,Hama,Sanjar,Abu Haya,"35.41519413,37.19072692",IS,118,92,108,95,413,0.5,0.25,0.1,,0.5,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Hama,Hama,Sanjar,Rasm Hamam,"35.4866921,37.2133571",IS,135,38,35,47,255,0.4,0.25,0.1,,1,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Abu Habbeh,"35.5128965,36.7259674",IS,233,236,166,148,783,0.5,0.5,0.25,,1,0.25,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Al Muaysruneh,"35.4948247067398,36.7842338432137",IS,67,81,53,47,248,0.5,0.5,0.25,,1,0.25,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Lhluoba,"35.4704866646397,36.7231407636819",IS,69,75,49,53,246,0.4,0.59,0.25,,1,0.25,3. Partially covered,2. Mostly covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Abul Eleij,"35.573112,37.088054",IS,156,163,89,85,493,0.8,0.59,0.1,,1,0.25,2. Mostly covered,2. Mostly covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Bashkum,"35.405515,37.071895",IS,82,61,74,65,282,0.8,0.59,0.1,,1,0.25,2. Mostly covered,2. Mostly covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,3. Partially covered
